"Current Profile for a mix of driving cycles including UDDS, US06, and HWFET",
RecordingTime,Current
2310.4,0.215091
2310.5,0.198539
2310.6,0.215091
2310.7,0.198539
2310.8,0.231643
2310.9,0.231643
2311,0.198539
2311.1,0.231643
2311.2,0.231643
2311.3,0.082676
2311.4,0.148884
2311.5,0.11578
2311.6,0.11578
2311.7,0.11578
2311.8,0.11578
2311.9,0.132332
2312,0.148884
2312.1,0.132332
2312.2,0.132332
2312.3,0.11578
2312.4,0.132332
2312.5,0.132332
2312.6,0.165436
2312.7,0.132332
2312.8,0.165436
2312.9,0.148884
2313,0.148884
2313.1,0.132332
2313.2,0.099228
2313.3,0.066124
2313.4,-0.016635
2313.5,0.066124
2313.6,0.016469
2313.7,0.099228
2313.8,-0.000083
2313.9,0.016469
2314,-0.016635
2314.1,0.016469
2314.2,-0.016635
2314.3,0.066124
2314.4,0.066124
2314.5,-0.000083
2314.6,0.066124
2314.7,0.082676
2314.8,-0.016635
2314.9,0.082676
2315,-0.016635
2315.1,-0.000083
2315.2,-0.000083
2315.3,0.264747
2315.4,0.198539
2315.5,0.198539
2315.6,0.198539
2315.7,0.231643
2315.8,0.198539
2315.9,0.198539
2316,0.215091
2316.1,0.215091
2316.2,0.198539
2316.3,0.810958
2316.4,0.711647
2316.5,0.728199
2316.6,0.728199
2316.7,0.711647
2316.8,0.711647
2316.9,0.695095
2317,0.695095
2317.1,0.744751
2317.2,0.695095
2317.3,0.628888
2317.4,0.612336
2317.5,0.64544
2317.6,0.628888
2317.7,0.612336
2317.8,0.661992
2317.9,0.612336
2318,0.628888
2318.1,0.661992
2318.2,0.595784
2318.3,0.64544
2318.4,0.612336
2318.5,0.628888
2318.6,0.612336
2318.7,0.628888
2318.8,0.612336
2318.9,0.628888
2319,0.612336
2319.1,0.628888
2319.2,0.628888
2319.3,0.430265
2319.4,0.479921
2319.5,0.496473
2319.6,0.446817
2319.7,0.446817
2319.8,0.496473
2319.9,0.479921
2320,0.446817
2320.1,0.446817
2320.2,0.479921
2320.3,-0.546295
2320.4,-0.033187
2320.5,-0.082842
2320.6,-0.132498
2320.7,-0.082842
2320.8,-0.099394
2320.9,-0.099394
2321,-0.082842
2321.1,-0.132498
2321.2,-0.099394
2321.3,-2.466311
2321.4,-2.052514
2321.5,-2.118721
2321.6,-2.118721
2321.7,-2.135273
2321.8,-2.085618
2321.9,-2.118721
2322,-2.135273
2322.1,-2.10217
2322.2,-2.118721
2322.3,-2.913211
2322.4,-2.764244
2322.5,-2.780796
2322.6,-2.8139
2322.7,-2.797348
2322.8,-2.797348
2322.9,-2.8139
2323,-2.847003
2323.1,-2.797348
2323.2,-2.847003
2323.3,-2.052514
2323.4,-2.184929
2323.5,-2.201481
2323.6,-2.168377
2323.7,-2.168377
2323.8,-2.218033
2323.9,-2.184929
2324,-2.201481
2324.1,-2.201481
2324.2,-2.184929
2324.3,-1.406991
2324.4,-1.506303
2324.5,-1.522854
2324.6,-1.506303
2324.7,-1.539406
2324.8,-1.522854
2324.9,-1.522854
2325,-1.539406
2325.1,-1.539406
2325.2,-1.555958
2325.3,0.281299
2325.4,0.198539
2325.5,0.215091
2325.6,0.215091
2325.7,0.198539
2325.8,0.215091
2325.9,0.198539
2326,0.181987
2326.1,0.231643
2326.2,0.215091
2326.3,0.231643
2326.4,0.215091
2326.5,0.215091
2326.6,0.215091
2326.7,0.198539
2326.8,0.215091
2326.9,0.231643
2327,0.198539
2327.1,0.181987
2327.2,0.215091
2327.3,0.215091
2327.4,0.215091
2327.5,0.198539
2327.6,0.215091
2327.7,0.215091
2327.8,0.198539
2327.9,0.198539
2328,0.198539
2328.1,0.198539
2328.2,0.231643
2328.3,-0.711813
2328.4,-0.41388
2328.5,-0.463535
2328.6,-0.463535
2328.7,-0.463535
2328.8,-0.480087
2328.9,-0.463535
2329,-0.463535
2329.1,-0.480087
2329.2,-0.480087
2329.3,-1.274577
2329.4,-1.12561
2329.5,-1.175265
2329.6,-1.175265
2329.7,-1.158713
2329.8,-1.175265
2329.9,-1.208369
2330,-1.175265
2330.1,-1.191817
2330.2,-1.191817
2330.3,-2.002859
2330.4,-1.853892
2330.5,-1.886995
2330.6,-1.870444
2330.7,-1.886995
2330.8,-1.903547
2330.9,-1.903547
2331,-1.870444
2331.1,-1.903547
2331.2,-1.903547
2331.3,-1.489751
2331.4,-1.589062
2331.5,-1.555958
2331.6,-1.605614
2331.7,-1.57251
2331.8,-1.57251
2331.9,-1.589062
2332,-1.57251
2332.1,-1.589062
2332.2,-1.589062
2332.3,-1.175265
2332.4,-1.224921
2332.5,-1.224921
2332.6,-1.224921
2332.7,-1.224921
2332.8,-1.208369
2332.9,-1.241473
2333,-1.258025
2333.1,-1.224921
2333.2,-1.241473
2333.3,-1.258025
2333.4,-1.241473
2333.5,-1.208369
2333.6,-1.258025
2333.7,-1.258025
2333.8,-1.241473
2333.9,-1.241473
2334,-1.258025
2334.1,-1.241473
2334.2,-1.224921
2334.3,0.099228
2334.4,-0.016635
2334.5,-0.000083
2334.6,-0.016635
2334.7,-0.016635
2334.8,-0.000083
2334.9,-0.000083
2335,0.066124
2335.1,0.049573
2335.2,-0.000083
2335.3,0.330954
2335.4,0.248195
2335.5,0.281299
2335.6,0.281299
2335.7,0.248195
2335.8,0.281299
2335.9,0.281299
2336,0.248195
2336.1,0.264747
2336.2,0.281299
2336.3,0.347506
2336.4,0.330954
2336.5,0.330954
2336.6,0.347506
2336.7,0.330954
2336.8,0.347506
2336.9,0.330954
2337,0.314402
2337.1,0.364058
2337.2,0.330954
2337.3,0.347506
2337.4,0.330954
2337.5,0.347506
2337.6,0.330954
2337.7,0.330954
2337.8,0.347506
2337.9,0.347506
2338,0.330954
2338.1,0.330954
2338.2,0.347506
2338.3,0.049573
2338.4,0.132332
2338.5,0.132332
2338.6,0.11578
2338.7,0.11578
2338.8,0.148884
2338.9,0.11578
2339,0.11578
2339.1,0.11578
2339.2,0.132332
2339.3,-0.281465
2339.4,-0.115946
2339.5,-0.132498
2339.6,-0.132498
2339.7,-0.132498
2339.8,-0.132498
2339.9,-0.14905
2340,-0.132498
2340.1,-0.132498
2340.2,-0.132498
2340.3,0.033021
2340.4,-0.016635
2340.5,-0.016635
2340.6,-0.016635
2340.7,-0.000083
2340.8,-0.000083
2340.9,-0.016635
2341,-0.000083
2341.1,-0.000083
2341.2,0.066124
2341.3,-0.000083
2341.4,-0.016635
2341.5,-0.016635
2341.6,-0.016635
2341.7,-0.000083
2341.8,-0.016635
2341.9,-0.016635
2342,-0.000083
2342.1,-0.000083
2342.2,-0.016635
2342.3,-0.182154
2342.4,-0.099394
2342.5,-0.132498
2342.6,-0.132498
2342.7,-0.132498
2342.8,-0.132498
2342.9,-0.14905
2343,-0.115946
2343.1,-0.115946
2343.2,-0.132498
2343.3,-0.562846
2343.4,-0.463535
2343.5,-0.480087
2343.6,-0.480087
2343.7,-0.513191
2343.8,-0.496639
2343.9,-0.480087
2344,-0.463535
2344.1,-0.480087
2344.2,-0.480087
2344.3,-1.291128
2344.4,-1.12561
2344.5,-1.175265
2344.6,-1.175265
2344.7,-1.191817
2344.8,-1.175265
2344.9,-1.175265
2345,-1.191817
2345.1,-1.175265
2345.2,-1.191817
2345.3,-2.002859
2345.4,-1.870444
2345.5,-1.886995
2345.6,-1.920099
2345.7,-1.903547
2345.8,-1.920099
2345.9,-1.903547
2346,-1.903547
2346.1,-1.920099
2346.2,-1.920099
2346.3,-0.231809
2346.4,-0.562846
2346.5,-0.513191
2346.6,-0.480087
2346.7,-0.513191
2346.8,-0.513191
2346.9,-0.480087
2347,-0.496639
2347.1,-0.480087
2347.2,-0.496639
2347.3,0.413714
2347.4,0.314402
2347.5,0.347506
2347.6,0.347506
2347.7,0.347506
2347.8,0.347506
2347.9,0.347506
2348,0.364058
2348.1,0.330954
2348.2,0.347506
2348.3,0.695095
2348.4,0.628888
2348.5,0.612336
2348.6,0.612336
2348.7,0.612336
2348.8,0.628888
2348.9,0.628888
2349,0.612336
2349.1,0.628888
2349.2,0.628888
2349.3,0.777855
2349.4,0.728199
2349.5,0.744751
2349.6,0.744751
2349.7,0.744751
2349.8,0.728199
2349.9,0.744751
2350,0.744751
2350.1,0.744751
2350.2,0.728199
2350.3,0.496473
2350.4,0.529577
2350.5,0.513025
2350.6,0.529577
2350.7,0.529577
2350.8,0.513025
2350.9,0.513025
2351,0.513025
2351.1,0.513025
2351.2,0.496473
2351.3,0.446817
2351.4,0.463369
2351.5,0.446817
2351.6,0.446817
2351.7,0.463369
2351.8,0.446817
2351.9,0.446817
2352,0.446817
2352.1,0.463369
2352.2,0.463369
2352.3,-0.529743
2352.4,-0.016635
2352.5,-0.115946
2352.6,-0.099394
2352.7,-0.082842
2352.8,-0.082842
2352.9,-0.099394
2353,-0.099394
2353.1,-0.082842
2353.2,-0.099394
2353.3,-1.274577
2353.4,-1.026299
2353.5,-1.075954
2353.6,-1.075954
2353.7,-1.075954
2353.8,-1.059402
2353.9,-1.075954
2354,-1.059402
2354.1,-1.04285
2354.2,-1.059402
2354.3,-2.615278
2354.4,-2.317344
2354.5,-2.333896
2354.6,-2.367
2354.7,-2.383551
2354.8,-2.350448
2354.9,-2.400103
2355,-2.383551
2355.1,-2.383551
2355.2,-2.416655
2355.3,-3.542182
2355.4,-3.34356
2355.5,-3.360111
2355.6,-3.393215
2355.7,-3.426319
2355.8,-3.426319
2355.9,-3.409767
2356,-3.426319
2356.1,-3.442871
2356.2,-3.442871
2356.3,-2.28424
2356.4,-2.499414
2356.5,-2.499414
2356.6,-2.466311
2356.7,-2.499414
2356.8,-2.499414
2356.9,-2.482862
2357,-2.499414
2357.1,-2.532518
2357.2,-2.515966
2357.3,-1.274577
2357.4,-1.539406
2357.5,-1.506303
2357.6,-1.489751
2357.7,-1.506303
2357.8,-1.506303
2357.9,-1.489751
2358,-1.489751
2358.1,-1.522854
2358.2,-1.522854
2358.3,-0.264913
2358.4,-0.480087
2358.5,-0.463535
2358.6,-0.463535
2358.7,-0.463535
2358.8,-0.446983
2358.9,-0.480087
2359,-0.480087
2359.1,-0.480087
2359.2,-0.480087
2359.3,-0.926987
2359.4,-0.844228
2359.5,-0.811124
2359.6,-0.86078
2359.7,-0.86078
2359.8,-0.811124
2359.9,-0.827676
2360,-0.844228
2360.1,-0.827676
2360.2,-0.827676
2360.3,-2.085618
2360.4,-1.870444
2360.5,-1.886995
2360.6,-1.886995
2360.7,-1.886995
2360.8,-1.886995
2360.9,-1.903547
2361,-1.903547
2361.1,-1.936651
2361.2,-1.920099
2361.3,-1.506303
2361.4,-1.589062
2361.5,-1.57251
2361.6,-1.555958
2361.7,-1.555958
2361.8,-1.605614
2361.9,-1.57251
2362,-1.589062
2362.1,-1.605614
2362.2,-1.589062
2362.3,-1.589062
2362.4,-1.589062
2362.5,-1.589062
2362.6,-1.605614
2362.7,-1.605614
2362.8,-1.605614
2362.9,-1.589062
2363,-1.605614
2363.1,-1.605614
2363.2,-1.605614
2363.3,-1.589062
2363.4,-1.605614
2363.5,-1.622166
2363.6,-1.622166
2363.7,-1.605614
2363.8,-1.605614
2363.9,-1.622166
2364,-1.622166
2364.1,-1.622166
2364.2,-1.605614
2364.3,-1.175265
2364.4,-1.274577
2364.5,-1.258025
2364.6,-1.258025
2364.7,-1.258025
2364.8,-1.274577
2364.9,-1.258025
2365,-1.258025
2365.1,-1.258025
2365.2,-1.274577
2365.3,-1.704925
2365.4,-1.605614
2365.5,-1.655269
2365.6,-1.655269
2365.7,-1.655269
2365.8,-1.655269
2365.9,-1.655269
2366,-1.655269
2366.1,-1.655269
2366.2,-1.655269
2366.3,-2.962867
2366.4,-2.714589
2366.5,-2.764244
2366.6,-2.780796
2366.7,-2.780796
2366.8,-2.797348
2366.9,-2.780796
2367,-2.797348
2367.1,-2.797348
2367.2,-2.8139
2367.3,-1.489751
2367.4,-1.738029
2367.5,-1.704925
2367.6,-1.704925
2367.7,-1.704925
2367.8,-1.704925
2367.9,-1.704925
2368,-1.721477
2368.1,-1.704925
2368.2,-1.721477
2368.3,-1.241473
2368.4,-1.340784
2368.5,-1.340784
2368.6,-1.340784
2368.7,-1.340784
2368.8,-1.340784
2368.9,-1.340784
2369,-1.357336
2369.1,-1.324232
2369.2,-1.340784
2369.3,-0.877332
2369.4,-0.976643
2369.5,-0.960091
2369.6,-0.960091
2369.7,-0.960091
2369.8,-0.960091
2369.9,-0.960091
2370,-0.960091
2370.1,-0.943539
2370.2,-0.960091
2370.3,0.099228
2370.4,-0.016635
2370.5,-0.000083
2370.6,-0.000083
2370.7,0.016469
2370.8,0.016469
2370.9,0.016469
2371,-0.000083
2371.1,-0.000083
2371.2,0.033021
2371.3,-0.281465
2371.4,-0.165602
2371.5,-0.165602
2371.6,-0.182154
2371.7,-0.182154
2371.8,-0.182154
2371.9,-0.165602
2372,-0.165602
2372.1,-0.165602
2372.2,-0.182154
2372.3,0.049573
2372.4,-0.016635
2372.5,0.049573
2372.6,0.016469
2372.7,-0.016635
2372.8,-0.000083
2372.9,-0.000083
2373,-0.000083
2373.1,-0.000083
2373.2,-0.016635
2373.3,-0.248361
2373.4,-0.215257
2373.5,-0.182154
2373.6,-0.182154
2373.7,-0.198705
2373.8,-0.182154
2373.9,-0.182154
2374,-0.182154
2374.1,-0.198705
2374.2,-0.182154
2374.3,-0.198705
2374.4,-0.215257
2374.5,-0.182154
2374.6,-0.182154
2374.7,-0.165602
2374.8,-0.198705
2374.9,-0.182154
2375,-0.182154
2375.1,-0.165602
2375.2,-0.165602
2375.3,-0.016635
2375.4,-0.016635
2375.5,0.066124
2375.6,0.049573
2375.7,-0.000083
2375.8,-0.000083
2375.9,0.016469
2376,0.016469
2376.1,-0.000083
2376.2,-0.016635
2376.3,-0.000083
2376.4,-0.000083
2376.5,-0.000083
2376.6,-0.016635
2376.7,0.016469
2376.8,-0.016635
2376.9,-0.000083
2377,-0.000083
2377.1,0.016469
2377.2,0.066124
2377.3,-0.231809
2377.4,-0.14905
2377.5,-0.165602
2377.6,-0.182154
2377.7,-0.165602
2377.8,-0.182154
2377.9,-0.165602
2378,-0.182154
2378.1,-0.198705
2378.2,-0.198705
2378.3,0.049573
2378.4,-0.016635
2378.5,0.033021
2378.6,0.049573
2378.7,0.049573
2378.8,-0.016635
2378.9,0.049573
2379,0.066124
2379.1,0.049573
2379.2,-0.016635
2379.3,0.033021
2379.4,-0.016635
2379.5,0.049573
2379.6,-0.000083
2379.7,0.016469
2379.8,0.066124
2379.9,-0.000083
2380,-0.000083
2380.1,0.049573
2380.2,0.049573
2380.3,-0.695261
2380.4,-0.529743
2380.5,-0.562846
2380.6,-0.546295
2380.7,-0.562846
2380.8,-0.546295
2380.9,-0.546295
2381,-0.562846
2381.1,-0.562846
2381.2,-0.546295
2381.3,-0.546295
2381.4,-0.546295
2381.5,-0.562846
2381.6,-0.579398
2381.7,-0.546295
2381.8,-0.546295
2381.9,-0.562846
2382,-0.562846
2382.1,-0.562846
2382.2,-0.562846
2382.3,-1.009747
2382.4,-0.943539
2382.5,-0.943539
2382.6,-0.943539
2382.7,-0.943539
2382.8,-0.943539
2382.9,-0.926987
2383,-0.910436
2383.1,-0.960091
2383.2,-0.943539
2383.3,-1.423543
2383.4,-1.324232
2383.5,-1.357336
2383.6,-1.340784
2383.7,-1.324232
2383.8,-1.357336
2383.9,-1.357336
2384,-1.324232
2384.1,-1.357336
2384.2,-1.340784
2384.3,-1.787684
2384.4,-1.721477
2384.5,-1.738029
2384.6,-1.754581
2384.7,-1.754581
2384.8,-1.738029
2384.9,-1.738029
2385,-1.738029
2385.1,-1.738029
2385.2,-1.738029
2385.3,-0.364224
2385.4,-0.612502
2385.5,-0.59595
2385.6,-0.579398
2385.7,-0.579398
2385.8,-0.59595
2385.9,-0.59595
2386,-0.59595
2386.1,-0.562846
2386.2,-0.59595
2386.3,-0.115946
2386.4,-0.182154
2386.5,-0.198705
2386.6,-0.198705
2386.7,-0.165602
2386.8,-0.182154
2386.9,-0.182154
2387,-0.215257
2387.1,-0.182154
2387.2,-0.182154
2387.3,-0.198705
2387.4,-0.198705
2387.5,-0.198705
2387.6,-0.165602
2387.7,-0.182154
2387.8,-0.165602
2387.9,-0.182154
2388,-0.182154
2388.1,-0.198705
2388.2,-0.198705
2388.3,-0.182154
2388.4,-0.198705
2388.5,-0.198705
2388.6,-0.165602
2388.7,-0.182154
2388.8,-0.198705
2388.9,-0.182154
2389,-0.182154
2389.1,-0.198705
2389.2,-0.182154
2389.3,-0.182154
2389.4,-0.182154
2389.5,-0.198705
2389.6,-0.182154
2389.7,-0.198705
2389.8,-0.198705
2389.9,-0.182154
2390,-0.182154
2390.1,-0.165602
2390.2,-0.182154
2390.3,-0.645606
2390.4,-0.562846
2390.5,-0.579398
2390.6,-0.579398
2390.7,-0.579398
2390.8,-0.562846
2390.9,-0.59595
2391,-0.579398
2391.1,-0.579398
2391.2,-0.562846
2391.3,-0.579398
2391.4,-0.562846
2391.5,-0.579398
2391.6,-0.579398
2391.7,-0.562846
2391.8,-0.579398
2391.9,-0.562846
2392,-0.579398
2392.1,-0.579398
2392.2,-0.562846
2392.3,-0.132498
2392.4,-0.198705
2392.5,-0.198705
2392.6,-0.182154
2392.7,-0.198705
2392.8,-0.215257
2392.9,-0.182154
2393,-0.198705
2393.1,-0.182154
2393.2,-0.215257
2393.3,-0.016635
2393.4,-0.016635
2393.5,0.033021
2393.6,0.082676
2393.7,-0.016635
2393.8,-0.000083
2393.9,-0.000083
2394,-0.016635
2394.1,-0.000083
2394.2,-0.000083
2394.3,-2.582174
2394.4,-2.069066
2394.5,-2.135273
2394.6,-2.135273
2394.7,-2.135273
2394.8,-2.135273
2394.9,-2.135273
2395,-2.135273
2395.1,-2.151825
2395.2,-2.135273
2395.3,-1.224921
2395.4,-1.423543
2395.5,-1.39044
2395.6,-1.39044
2395.7,-1.406991
2395.8,-1.39044
2395.9,-1.39044
2396,-1.373888
2396.1,-1.406991
2396.2,-1.373888
2396.3,-0.926987
2396.4,-0.993195
2396.5,-0.976643
2396.6,-0.993195
2396.7,-1.009747
2396.8,-0.993195
2396.9,-0.993195
2397,-0.993195
2397.1,-0.993195
2397.2,-0.993195
2397.3,-0.033187
2397.4,-0.215257
2397.5,-0.182154
2397.6,-0.182154
2397.7,-0.182154
2397.8,-0.198705
2397.9,-0.182154
2398,-0.182154
2398.1,-0.182154
2398.2,-0.182154
2398.3,-0.165602
2398.4,-0.165602
2398.5,-0.215257
2398.6,-0.182154
2398.7,-0.182154
2398.8,-0.198705
2398.9,-0.182154
2399,-0.182154
2399.1,-0.182154
2399.2,-0.182154
2399.3,-0.182154
2399.4,-0.182154
2399.5,-0.198705
2399.6,-0.198705
2399.7,-0.165602
2399.8,-0.182154
2399.9,-0.198705
2400,-0.182154
2400.1,-0.182154
2400.2,-0.182154
2400.3,-0.182154
2400.4,-0.165602
2400.5,-0.198705
2400.6,-0.198705
2400.7,-0.215257
2400.8,-0.182154
2400.9,-0.182154
2401,-0.215257
2401.1,-0.231809
2401.2,-0.198705
2401.3,0.016469
2401.4,-0.000083
2401.5,-0.016635
2401.6,-0.000083
2401.7,-0.016635
2401.8,-0.016635
2401.9,0.016469
2402,-0.016635
2402.1,-0.000083
2402.2,-0.016635
2402.3,-0.016635
2402.4,-0.000083
2402.5,-0.016635
2402.6,-0.016635
2402.7,0.016469
2402.8,-0.000083
2402.9,0.016469
2403,-0.016635
2403.1,-0.016635
2403.2,-0.016635
2403.3,0.64544
2403.4,0.496473
2403.5,0.513025
2403.6,0.529577
2403.7,0.496473
2403.8,0.496473
2403.9,0.579232
2404,0.546129
2404.1,0.513025
2404.2,0.496473
2404.3,0.314402
2404.4,0.347506
2404.5,0.347506
2404.6,0.397162
2404.7,0.364058
2404.8,0.364058
2404.9,0.364058
2405,0.38061
2405.1,0.397162
2405.2,0.364058
2405.3,0.016469
2405.4,0.132332
2405.5,0.132332
2405.6,0.099228
2405.7,0.132332
2405.8,0.11578
2405.9,0.132332
2406,0.11578
2406.1,0.132332
2406.2,0.11578
2406.3,0.215091
2406.4,0.198539
2406.5,0.198539
2406.6,0.198539
2406.7,0.181987
2406.8,0.198539
2406.9,0.181987
2407,0.198539
2407.1,0.215091
2407.2,0.215091
2407.3,0.364058
2407.4,0.347506
2407.5,0.364058
2407.6,0.38061
2407.7,0.364058
2407.8,0.364058
2407.9,0.347506
2408,0.364058
2408.1,0.364058
2408.2,0.347506
2408.3,0.347506
2408.4,0.347506
2408.5,0.330954
2408.6,0.364058
2408.7,0.347506
2408.8,0.364058
2408.9,0.347506
2409,0.364058
2409.1,0.347506
2409.2,0.330954
2409.3,0.049573
2409.4,0.11578
2409.5,0.11578
2409.6,0.132332
2409.7,0.132332
2409.8,0.132332
2409.9,0.132332
2410,0.148884
2410.1,0.11578
2410.2,0.132332
2410.3,0.132332
2410.4,0.11578
2410.5,0.11578
2410.6,0.099228
2410.7,0.11578
2410.8,0.132332
2410.9,0.11578
2411,0.11578
2411.1,0.11578
2411.2,0.132332
2411.3,0.132332
2411.4,0.11578
2411.5,0.132332
2411.6,0.132332
2411.7,0.132332
2411.8,0.11578
2411.9,0.11578
2412,0.132332
2412.1,0.132332
2412.2,0.132332
2412.3,0.132332
2412.4,0.132332
2412.5,0.132332
2412.6,0.132332
2412.7,0.099228
2412.8,0.099228
2412.9,0.11578
2413,0.132332
2413.1,0.11578
2413.2,0.11578
2413.3,0.11578
2413.4,0.132332
2413.5,0.11578
2413.6,0.11578
2413.7,0.11578
2413.8,0.11578
2413.9,0.099228
2414,0.11578
2414.1,0.132332
2414.2,0.11578
2414.3,0.099228
2414.4,0.132332
2414.5,0.099228
2414.6,0.11578
2414.7,0.148884
2414.8,0.099228
2414.9,0.132332
2415,0.099228
2415.1,0.11578
2415.2,0.132332
2415.3,0.198539
2415.4,0.181987
2415.5,0.198539
2415.6,0.181987
2415.7,0.181987
2415.8,0.181987
2415.9,0.198539
2416,0.198539
2416.1,0.181987
2416.2,0.198539
2416.3,0.099228
2416.4,0.11578
2416.5,0.099228
2416.6,0.132332
2416.7,0.132332
2416.8,0.11578
2416.9,0.11578
2417,0.11578
2417.1,0.132332
2417.2,0.11578
2417.3,0.231643
2417.4,0.198539
2417.5,0.198539
2417.6,0.215091
2417.7,0.215091
2417.8,0.198539
2417.9,0.215091
2418,0.181987
2418.1,0.181987
2418.2,0.198539
2418.3,0.56268
2418.4,0.463369
2418.5,0.479921
2418.6,0.496473
2418.7,0.496473
2418.8,0.496473
2418.9,0.463369
2419,0.479921
2419.1,0.479921
2419.2,0.479921
2419.3,0.496473
2419.4,0.496473
2419.5,0.446817
2419.6,0.479921
2419.7,0.463369
2419.8,0.496473
2419.9,0.479921
2420,0.496473
2420.1,0.496473
2420.2,0.479921
2420.3,0.56268
2420.4,0.529577
2420.5,0.546129
2420.6,0.546129
2420.7,0.546129
2420.8,0.56268
2420.9,0.56268
2421,0.56268
2421.1,0.56268
2421.2,0.529577
2421.3,1.423377
2421.4,1.224755
2421.5,1.257859
2421.6,1.27441
2421.7,1.224755
2421.8,1.224755
2421.9,1.224755
2422,1.241307
2422.1,1.224755
2422.2,1.191651
2422.3,0.926821
2422.4,0.943373
2422.5,0.926821
2422.6,0.943373
2422.7,0.926821
2422.8,0.910269
2422.9,0.910269
2423,0.926821
2423.1,0.926821
2423.2,0.893718
2423.3,0.628888
2423.4,0.695095
2423.5,0.64544
2423.6,0.661992
2423.7,0.661992
2423.8,0.64544
2423.9,0.64544
2424,0.64544
2424.1,0.661992
2424.2,0.64544
2424.3,1.09234
2424.4,0.976477
2424.5,0.976477
2424.6,0.976477
2424.7,0.976477
2424.8,0.976477
2424.9,0.959925
2425,0.959925
2425.1,0.976477
2425.2,0.959925
2425.3,0.579232
2425.4,0.628888
2425.5,0.595784
2425.6,0.628888
2425.7,0.612336
2425.8,0.612336
2425.9,0.595784
2426,0.628888
2426.1,0.612336
2426.2,0.595784
2426.3,0.347506
2426.4,0.413714
2426.5,0.364058
2426.6,0.364058
2426.7,0.38061
2426.8,0.364058
2426.9,0.364058
2427,0.38061
2427.1,0.364058
2427.2,0.364058
2427.3,0.364058
2427.4,0.364058
2427.5,0.38061
2427.6,0.364058
2427.7,0.364058
2427.8,0.364058
2427.9,0.364058
2428,0.38061
2428.1,0.38061
2428.2,0.38061
2428.3,0.413714
2428.4,0.430265
2428.5,0.430265
2428.6,0.430265
2428.7,0.397162
2428.8,0.413714
2428.9,0.413714
2429,0.413714
2429.1,0.397162
2429.2,0.397162
2429.3,0.397162
2429.4,0.413714
2429.5,0.413714
2429.6,0.397162
2429.7,0.413714
2429.8,0.397162
2429.9,0.397162
2430,0.397162
2430.1,0.397162
2430.2,0.413714
2430.3,0.56268
2430.4,0.529577
2430.5,0.546129
2430.6,0.546129
2430.7,0.513025
2430.8,0.546129
2430.9,0.529577
2431,0.496473
2431.1,0.513025
2431.2,0.529577
2431.3,0.463369
2431.4,0.446817
2431.5,0.479921
2431.6,0.479921
2431.7,0.479921
2431.8,0.479921
2431.9,0.463369
2432,0.479921
2432.1,0.463369
2432.2,0.446817
2432.3,0.347506
2432.4,0.38061
2432.5,0.364058
2432.6,0.364058
2432.7,0.364058
2432.8,0.364058
2432.9,0.364058
2433,0.364058
2433.1,0.347506
2433.2,0.364058
2433.3,0.165436
2433.4,0.198539
2433.5,0.198539
2433.6,0.181987
2433.7,0.198539
2433.8,0.181987
2433.9,0.198539
2434,0.198539
2434.1,0.215091
2434.2,0.198539
2434.3,-0.744917
2434.4,-0.446983
2434.5,-0.480087
2434.6,-0.480087
2434.7,-0.496639
2434.8,-0.480087
2434.9,-0.496639
2435,-0.463535
2435.1,-0.463535
2435.2,-0.463535
2435.3,-2.416655
2435.4,-2.085618
2435.5,-2.135273
2435.6,-2.151825
2435.7,-2.151825
2435.8,-2.151825
2435.9,-2.151825
2436,-2.168377
2436.1,-2.168377
2436.2,-2.168377
2436.3,-5.031849
2436.4,-4.535294
2436.5,-4.634605
2436.6,-4.667708
2436.7,-4.68426
2436.8,-4.717364
2436.9,-4.750468
2437,-4.76702
2437.1,-4.816675
2437.2,-4.833227
2437.3,-5.147713
2437.4,-5.131161
2437.5,-5.164264
2437.6,-5.197368
2437.7,-5.230472
2437.8,-5.280128
2437.9,-5.296679
2438,-5.313231
2438.1,-5.329783
2438.2,-5.39599
2438.3,-5.991858
2438.4,-5.942202
2438.5,-5.991858
2438.6,-6.024961
2438.7,-6.058065
2438.8,-6.091169
2438.9,-6.124272
2439,-6.173928
2439.1,-6.207032
2439.2,-6.240136
2439.3,-5.329783
2439.4,-5.528405
2439.5,-5.578061
2439.6,-5.578061
2439.7,-5.594613
2439.8,-5.627717
2439.9,-5.66082
2440,-5.677372
2440.1,-5.710476
2440.2,-5.74358
2440.3,-4.783572
2440.4,-4.965642
2440.5,-4.965642
2440.6,-4.982194
2440.7,-4.998746
2440.8,-5.031849
2440.9,-5.048401
2441,-5.064953
2441.1,-5.081505
2441.2,-5.131161
2441.3,-3.310456
2441.4,-3.674597
2441.5,-3.624941
2441.6,-3.624941
2441.7,-3.658045
2441.8,-3.674597
2441.9,-3.674597
2442,-3.674597
2442.1,-3.691149
2442.2,-3.7077
2442.3,-2.962867
2442.4,-3.095282
2442.5,-3.095282
2442.6,-3.128385
2442.7,-3.095282
2442.8,-3.111833
2442.9,-3.111833
2443,-3.111833
2443.1,-3.128385
2443.2,-3.144937
2443.3,-2.367
2443.4,-2.499414
2443.5,-2.499414
2443.6,-2.482862
2443.7,-2.515966
2443.8,-2.499414
2443.9,-2.515966
2444,-2.532518
2444.1,-2.515966
2444.2,-2.515966
2444.3,-2.135273
2444.4,-2.201481
2444.5,-2.184929
2444.6,-2.201481
2444.7,-2.218033
